Genus	Species	ProteomeID	Description	taxaID	ReleaseDate	ProteinCount
Canis	familiaris	UP000002254	Canis familiaris (Dog) (Canis lupus familiaris)	9615	2015-04-13	25484
Capnocytophaga	ochracea	UP000006650	Capnocytophaga ochracea (strain ATCC 27872 / DSM 7271 / JCM 12966 / NCTC 12371 / VPI 2845) (Bacteroides ochraceus)	521097	2015-04-11	2171
Capsaspora	owczarzaki	UP000008743	Capsaspora owczarzaki (strain ATCC 30864)	595528	2015-04-13	9794
Carboxydothermus	hydrogenoformans	UP000002706	Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901)	246194	2015-04-20	2615
Carsonella	ruddii	UP000000777	Carsonella ruddii (strain PV)	387662	2015-04-09	182
Catenulispora	acidiphila	UP000000851	Catenulispora acidiphila (strain DSM 44928 / NRRL B-24433 / NBRC 102108 / JCM 14897)	479433	2015-05-03	8909
Caulobacter	sp.	UP000001316	Caulobacter sp. (strain K31)	366602	2015-04-13	5373
Caulobacter	crescentus	UP000001816	Caulobacter crescentus (strain ATCC 19089 / CB15)	190650	2015-04-13	3720
Caulobacter	segnis	UP000002629	Caulobacter segnis (strain ATCC 21756 / DSM 7131 / JCM 7823 / NBRC 15250 / LMG 17158 / TK0059) (Mycoplana segnis)	509190	2015-04-09	4136
Cavia	porcellus	UP000005447	Cavia porcellus (Guinea pig)	10141	2015-05-10	19917
Cellulomonas	flavigena	UP000000849	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / NCIB 8073 / NRS 134)	446466	2015-05-03	3673
Cellulomonas	fimi	UP000008460	Cellulomonas fimi (strain ATCC 484 / DSM 20113 / JCM 1341 / NBRC 15513 / NCIMB 8980 / NCTC 7547)	590998	2015-05-03	3760
Cellvibrio	japonicus	UP000001036	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	498211	2015-04-13	3711
Cellvibrio	gilvus	UP000000485	Cellvibrio gilvus (strain ATCC 13127 / NRRL B-14078)	593907	2015-05-03	3153
Cenarchaeum	symbiosum	UP000000758	Cenarchaeum symbiosum (strain A)	414004	2015-04-13	2022
Chelativorans	sp.	UP000001820	Chelativorans sp. (strain BNC1)	266779	2015-04-13	4530
Chitinophaga	pinensis	UP000002215	Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034)	485918	2015-04-09	7179
Chlamydia	trachomatis	UP000000431	Chlamydia trachomatis (strain D/UW-3/Cx)	272561	2015-04-13	895
Chlamydia	muridarum	UP000000800	Chlamydia muridarum (strain MoPn / Nigg)	243161	2015-06-05	911
Chlamydomonas	reinhardtii	UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	2015-05-15	14337
Chlamydophila	psittaci	UP000008336	Chlamydophila psittaci (strain ATCC VR-125 / 6BC) (Chlamydia psittaci)	331636	2015-06-04	1009
Chlamydophila	abortus	UP000001012	Chlamydophila abortus (strain DSM 27085 / S26/3)	218497	2015-04-09	932
Chlamydophila	caviae	UP000002193	Chlamydophila caviae (strain GPIC)	227941	2015-04-09	1005
Chlamydophila	felis	UP000001260	Chlamydophila felis (strain Fe/C-56)	264202	2015-04-09	1013
Chlamydophila	pecorum	UP000008305	Chlamydophila pecorum (strain ATCC VR-628 / E58)	331635	2015-06-04	988
Chlamydophila	pneumoniae	UP000002636	Chlamydophila pneumoniae (strain LPCoLN)	406984	2015-06-04	1105
Chloracidobacterium	thermophilum	UP000006791	Chloracidobacterium thermophilum (strain B)	981222	2015-04-10	3053
Chlorobaculum	parvum	UP000008811	Chlorobaculum parvum (strain NCIB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum (strain DSM 263 / NCIB 8327))	517417	2015-04-09	2044
Chlorobium	tepidum	UP000001007	Chlorobium tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)	194439	2015-04-20	2250
Chlorobium	chlorochromatii	UP000002708	Chlorobium chlorochromatii (strain CaD3)	340177	2015-04-13	1986
Chlorobium	limicola	UP000008841	Chlorobium limicola (strain DSM 245 / NBRC 103803)	290315	2015-04-22	2419
Chlorobium	phaeobacteroides	UP000008701	Chlorobium phaeobacteroides (strain DSM 266)	290317	2015-04-22	2579
Chloroflexus	aurantiacus	UP000007725	Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl)	480224	2015-06-04	4153
Chloroflexus	aggregans	UP000002508	Chloroflexus aggregans (strain MD-66 / DSM 9485)	326427	2015-04-09	3725
Chloroherpeton	thalassium	UP000001208	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	517418	2015-04-09	2708
Chromobacterium	violaceum	UP000001424	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	243365	2015-04-13	4397
Chromohalobacter	salexigens	UP000000239	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768)	290398	2015-04-09	3298
Ciona	savignyi	UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	2015-05-10	20004
Ciona	intestinalis	UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	2015-05-10	17308
Citrobacter	rodentium	UP000001889	Citrobacter rodentium (strain ICC168) (Citrobacter freundii biotype 4280)	637910	2015-05-01	4792
Citrobacter	koseri	UP000008148	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	290338	2015-05-01	5019
Clavibacter	michiganensis	UP000001318	Clavibacter michiganensis subsp. sepedonicus (strain ATCC 33113 / DSM 20744 / JCM 9667 / LMG 2889 / C-1) (Corynebacterium sepedonicum)	31964	2015-05-03	3058
Clostridiales	genomosp.	UP000008234	Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp. BVAB3 (strain UPII9-5))	699246	2015-04-09	1566
Clostridium	thermocellum	UP000008083	Clostridium thermocellum (strain DSM 1313 / LMG 6656 / LQ8) (Ruminiclostridium thermocellum)	637887	2015-06-04	2881
Clostridium	acetobutylicum	UP000007476	Clostridium acetobutylicum (strain EA 2018)	863638	2015-06-06	3912
Clostridium	beijerinckii	UP000000565	Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052) (Clostridium acetobutylicum)	290402	2015-06-06	5003
Clostridium	botulinum	UP000000722	Clostridium botulinum (strain Loch Maree / Type A3)	498214	2015-06-06	3981
Clostridium	cellulolyticum	UP000001349	Clostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10)	394503	2015-05-03	3287
Clostridium	cellulovorans	UP000002730	Clostridium cellulovorans (strain ATCC 35296 / DSM 3052 / OCM 3 / 743B)	573061	2015-06-06	4211
Clostridium	kluyveri	UP000002411	Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680)	431943	2015-04-13	3828
Clostridium	ljungdahlii	UP000001656	Clostridium ljungdahlii (strain ATCC 55383 / DSM 13528 / PETC)	748727	2015-06-06	4149
Clostridium	novyi	UP000008220	Clostridium novyi (strain NT)	386415	2015-04-09	2305
Clostridium	perfringens	UP000001824	Clostridium perfringens (strain SM101 / Type A)	289380	2015-04-11	2558
Clostridium	phytofermentans	UP000000370	Clostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Lachnoclostridium phytofermentans)	357809	2015-04-09	3891
Clostridium	saccharolyticum	UP000001662	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	610130	2015-04-09	4133
Clostridium	sticklandii	UP000007041	Clostridium sticklandii (strain ATCC 12662 / DSM 519 / JCM 1433 / NCIB 10654)	499177	2015-04-09	2572
Clostridium	tetani	UP000001412	Clostridium tetani (strain Massachusetts / E88)	212717	2015-04-13	2415
Collimonas	fungivorans	UP000008392	Collimonas fungivorans (strain Ter331)	1005048	2015-04-10	4429
Colwellia	psychrerythraea	UP000000547	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)	167879	2015-04-13	4872
Comamonas	testosteroni	UP000002360	Comamonas testosteroni (strain CNB-2)	688245	2015-06-06	4780
Conexibacter	woesei	UP000008229	Conexibacter woesei (strain DSM 14684 / JCM 11494 / NBRC 100937 / ID131577)	469383	2015-05-03	5912
Coprinopsis	cinerea	UP000001861	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata)	240176	2015-04-09	13335
Coprothermobacter	proteolyticus	UP000001732	Coprothermobacter proteolyticus (strain ATCC 35245 / DSM 5265 / BT)	309798	2015-04-09	1481
Coraliomargarita	akajimensis	UP000000925	Coraliomargarita akajimensis (strain DSM 45221 / IAM 15411 / JCM 23193 / KCTC 12865)	583355	2015-04-09	3110
Coriobacterium	glomerans	UP000006851	Coriobacterium glomerans (strain ATCC 49209 / DSM 20642 / JCM 10262 / PW2)	700015	2015-05-03	1768
Corynebacterium	urealyticum	UP000001727	Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109)	504474	2015-06-03	2011
Corynebacterium	aurimucosum	UP000002077	Corynebacterium aurimucosum (strain ATCC 700975 / DSM 44827 / CN-1) (Corynebacterium nigricans)	548476	2015-06-03	2528
Corynebacterium	diphtheriae	UP000007154	Corynebacterium diphtheriae (strain HC04)	698970	2015-06-04	2218
Corynebacterium	efficiens	UP000001409	Corynebacterium efficiens (strain DSM 44549 / YS-314 / AJ 12310 / JCM 11189 / NBRC 100395)	196164	2015-05-03	2945
Corynebacterium	glutamicum	UP000000582	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025)	196627	2015-05-03	3093
Corynebacterium	jeikeium	UP000000545	Corynebacterium jeikeium (strain K411)	306537	2015-06-03	2064
Corynebacterium	kroppenstedtii	UP000001473	Corynebacterium kroppenstedtii (strain DSM 44385 / CCUG 35717)	645127	2015-06-03	2018
Corynebacterium	pseudotuberculosis	UP000007092	Corynebacterium pseudotuberculosis (strain FRC41)	765874	2015-06-07	2110
Corynebacterium	resistens	UP000000492	Corynebacterium resistens (strain DSM 45100 / JCM 12819 / GTC 2026)	662755	2015-05-03	2160
Corynebacterium	ulcerans	UP000008887	Corynebacterium ulcerans (strain BR-AD22)	945712	2015-06-03	2333
Coxiella	burnetii	UP000002671	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	227377	2015-05-26	1815
Crassostrea	gigas	UP000005408	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	29159	2015-04-10	25982
Croceibacter	atlanticus	UP000002297	Croceibacter atlanticus (strain ATCC BAA-628 / HTCC2559 / KCTC 12090)	216432	2015-04-09	2702
Cronobacter	turicensis	UP000002069	Siccibacter turicensis (strain DSM 18703 / LMG 23827 / z3032) (Cronobacter turicensis)	693216	2015-05-06	4452
Cronobacter	sakazakii	UP000000260	Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii)	290339	2015-04-09	4421
Cryptobacterium	curtum	UP000000954	Cryptobacterium curtum (strain ATCC 700683 / DSM 15641 / 12-3)	469378	2015-05-03	1355
Cryptococcus	neoformans	UP000002149	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)	214684	2015-04-13	6436
Cryptosporidium	parvum	UP000006726	Cryptosporidium parvum (strain Iowa II)	353152	2015-04-09	3805
Culex	quinquefasciatus	UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	2015-04-13	18703
Cupriavidus	taiwanensis	UP000001692	Cupriavidus taiwanensis (strain R1 / LMG 19424) (Ralstonia taiwanensis (strain LMG 19424))	164546	2015-04-13	5838
Cupriavidus	necator	UP000008210	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	381666	2015-04-13	6614
Cupriavidus	pinatubonensis	UP000002697	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Ralstonia eutropha (strain JMP 134))	264198	2015-04-13	6433
Cyanobacterium	aponinum	UP000010480	Cyanobacterium aponinum (strain PCC 10605)	755178	2015-04-13	3415
Cyanobium	gracile	UP000010388	Cyanobium gracile (strain ATCC 27147 / PCC 6307)	292564	2015-04-13	3261
Cyanothece	sp.	UP000008204	Cyanothece sp. (strain PCC 8801) (Synechococcus sp. (strain PCC 8801 / RF-1))	41431	2015-04-13	4335
Cyclobacterium	marinum	UP000001635	Cyclobacterium marinum (strain ATCC 25205 / DSM 745) (Flectobacillus marinus)	880070	2015-04-10	4983
Cytophaga	hutchinsonii	UP000001822	Cytophaga hutchinsonii (strain ATCC 33406 / NCIMB 9469)	269798	2015-04-09	3771
Danaus	plexippus	UP000007151	Danaus plexippus (Monarch butterfly)	13037	2015-04-10	16253
Danio	rerio	UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	2015-06-07	42838
Daphnia	pulex	UP000000305	Daphnia pulex (Water flea)	6669	2015-04-13	30137
Debaryomyces	hansenii	UP000000599	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	284592	2015-04-13	6284
Dechloromonas	aromatica	UP000000550	Dechloromonas aromatica (strain RCB)	159087	2015-04-09	4155
Deferribacter	desulfuricans	UP000001520	Deferribacter desulfuricans (strain DSM 14783 / JCM 11476 / NBRC 101012 / SSM1)	639282	2015-04-13	2338
Dehalococcoides	mccartyi	UP000002506	Dehalococcoides mccartyi (strain VS)	311424	2015-05-24	1426
Dehalogenimonas	lykanthroporepellens	UP000002349	Dehalogenimonas lykanthroporepellens (strain ATCC BAA-1523 / JCM 15061 / BL-DC-9)	552811	2015-06-05	1619
Deinococcus	radiodurans	UP000002524	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	243230	2015-04-13	3085
Deinococcus	deserti	UP000002208	Deinococcus deserti (strain VCD115 / DSM 17065 / LMG 22923)	546414	2015-04-13	3459
Deinococcus	geothermalis	UP000002431	Deinococcus geothermalis (strain DSM 11300)	319795	2015-04-13	3006
Deinococcus	proteolyticus	UP000007718	Deinococcus proteolyticus (strain ATCC 35074 / DSM 20540 / JCM 6276 / NBRC 101906 / NCIMB 13154 / VKM Ac-1939 / CCM 2703)	693977	2015-04-13	2652
Delftia	acidovorans	UP000000784	Delftia acidovorans (strain DSM 14801 / SPH-1)	398578	2015-04-09	5968
Desulfatibacillum	alkenivorans	UP000000739	Desulfatibacillum alkenivorans (strain AK-01)	439235	2015-04-09	5198
Desulfitobacterium	hafniense	UP000001946	Desulfitobacterium hafniense (strain Y51)	138119	2015-04-13	5014
Desulfitobacterium	dichloroeliminans	UP000010797	Desulfitobacterium dichloroeliminans (strain LMG P-21439 / DCA1)	871963	2015-04-13	3294
Desulfobacca	acetoxidans	UP000000483	Desulfobacca acetoxidans (strain ATCC 700848 / DSM 11109 / ASRB2)	880072	2015-04-13	2859
Desulfobacterium	autotrophicum	UP000000442	Desulfobacterium autotrophicum (strain ATCC 43914 / DSM 3382 / HRM2)	177437	2015-04-13	4846
Desulfobulbus	propionicus	UP000006365	Desulfobulbus propionicus (strain ATCC 33891 / DSM 2032 / 1pr3)	577650	2015-04-09	3259
Desulfocapsa	sulfexigens	UP000011721	Desulfocapsa sulfexigens (strain DSM 10523 / SB164P1)	1167006	2015-04-13	3514
Desulfococcus	oleovorans	UP000008561	Desulfococcus oleovorans (strain DSM 6200 / Hxd3)	96561	2015-04-09	3255
Desulfohalobium	retbaense	UP000001052	Desulfohalobium retbaense (strain DSM 5692)	485915	2015-04-13	2500
Desulfomicrobium	baculatum	UP000002216	Desulfomicrobium baculatum (strain DSM 4028 / VKM B-1378) (Desulfovibrio baculatus)	525897	2015-04-09	3421
Desulfomonile	tiedjei	UP000006055	Desulfomonile tiedjei (strain ATCC 49306 / DSM 6799 / DCB-1)	706587	2015-04-10	5412
Desulforudis	audaxviator	UP000008544	Desulforudis audaxviator (strain MP104C)	477974	2015-04-09	2136
Desulfosporosinus	acidiphilus	UP000002892	Desulfosporosinus acidiphilus (strain DSM 22704 / JCM 16185 / SJ4)	646529	2015-06-02	4469
Desulfotalea	psychrophila	UP000000602	Desulfotalea psychrophila (strain LSv54 / DSM 12343)	177439	2015-04-13	3233
Desulfotomaculum	ruminis	UP000009234	Desulfotomaculum ruminis (strain ATCC 23193 / DSM 2154 / NCIB 8452 / DL)	696281	2015-04-10	3763
Desulfotomaculum	acetoxidans	UP000002217	Desulfotomaculum acetoxidans (strain ATCC 49208 / DSM 771 / VKM B-1644)	485916	2015-04-09	4016
Desulfotomaculum	kuznetsovii	UP000009229	Desulfotomaculum kuznetsovii (strain DSM 6115 / VKM B-1805 / 17)	760568	2015-04-10	3385
Desulfotomaculum	reducens	UP000001556	Desulfotomaculum reducens (strain MI-1)	349161	2015-04-09	3220
Desulfovibrio	vulgaris	UP000009173	Desulfovibrio vulgaris subsp. vulgaris (strain DP4)	391774	2015-06-03	276
Desulfovibrio	desulfuricans	UP000002710	Desulfovibrio alaskensis (strain G20) (Desulfovibrio desulfuricans (strain G20))	207559	2015-04-09	3220
Desulfovibrio	magneticus	UP000009071	Desulfovibrio magneticus (strain ATCC 700980 / DSM 13731 / RS-1)	573370	2015-04-09	4663
Desulfovibrio	salexigens	UP000002601	Desulfovibrio salexigens (strain ATCC 14822 / DSM 2638 / NCIB 8403 / VKM B-1763)	526222	2015-04-11	3807
Desulfurispirillum	indicum	UP000002572	Desulfurispirillum indicum (strain ATCC BAA-1389 / S5)	653733	2015-04-09	2551
Desulfurivibrio	alkaliphilus	UP000001508	Desulfurivibrio alkaliphilus (strain DSM 19089 / UNIQEM U267 / AHT2)	589865	2015-04-09	2595
Desulfurobacterium	thermolithotrophum	UP000007102	Desulfurobacterium thermolithotrophum (strain DSM 11699 / BSA)	868864	2015-04-09	1496
Desulfurococcus	mucosus	UP000001068	Desulfurococcus mucosus (strain ATCC 35584 / DSM 2162 / JCM 9187 / O7/1)	765177	2015-04-09	1345
Desulfurococcus	kamchatkensis	UP000006903	Desulfurococcus kamchatkensis (strain 1221n / DSM 18924)	490899	2015-04-09	1470
Dichelobacter	nodosus	UP000000248	Dichelobacter nodosus (strain VCS1703A)	246195	2015-04-09	1273
Dickeya	zeae	UP000002735	Dickeya zeae (strain Ech1591)	561229	2015-04-09	4131
Dickeya	dadantii	UP000002734	Dickeya dadantii (strain Ech703)	579405	2015-04-09	3961
Dictyoglomus	turgidum	UP000007719	Dictyoglomus turgidum (strain Z-1310 / DSM 6724)	515635	2015-04-09	1743
Dictyoglomus	thermophilum	UP000001733	Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12)	309799	2015-04-09	1913
Dictyostelium	purpureum	UP000001064	Dictyostelium purpureum (Slime mold)	5786	2015-04-10	12347
Dictyostelium	discoideum	UP000002195	Dictyostelium discoideum (Slime mold)	44689	2015-04-13	12746
Dinoroseobacter	shibae	UP000006833	Dinoroseobacter shibae (strain DSM 16493 / NCIMB 14021 / DFL 12)	398580	2015-04-13	4086
Drosophila	yakuba	UP000002282	Drosophila yakuba (Fruit fly)	7245	2015-04-13	15954
Drosophila	grimshawi	UP000001070	Drosophila grimshawi (Fruit fly) (Idiomyia grimshawi)	7222	2015-04-10	14754
Drosophila	melanogaster	UP000000803	Drosophila melanogaster (Fruit fly)	7227	2015-04-13	22018
Drosophila	mojavensis	UP000009192	Drosophila mojavensis (Fruit fly)	7230	2015-04-10	14525
Drosophila	pseudoobscura	UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	2015-04-13	16756
Drosophila	virilis	UP000008792	Drosophila virilis (Fruit fly)	7244	2015-04-13	14456
Drosophila	willistoni	UP000007798	Drosophila willistoni (Fruit fly)	7260	2015-04-10	15447
Dyadobacter	fermentans	UP000002011	Dyadobacter fermentans (strain ATCC 700827 / DSM 18053 / NS114)	471854	2015-04-09	5703
Edwardsiella	tarda	UP000002230	Edwardsiella tarda (strain FL6-60)	718251	2015-06-03	6
Edwardsiella	ictaluri	UP000001485	Edwardsiella ictaluri (strain 93-146)	634503	2015-04-09	3686
Eggerthella	lenta	UP000001377	Eggerthella lenta (strain ATCC 25559 / DSM 2243 / JCM 9979 / NCTC 11813 / VPI 0255) (Eubacterium lentum)	479437	2015-05-03	3054
Ehrlichia	ruminantium	UP000001021	Ehrlichia ruminantium (strain Welgevonden)	254945	2015-06-05	958
Ehrlichia	canis	UP000000435	Ehrlichia canis (strain Jake)	269484	2015-04-09	921
Ehrlichia	chaffeensis	UP000008320	Ehrlichia chaffeensis (strain ATCC CRL-10679 / Arkansas)	205920	2015-04-13	1100
Elusimicrobium	minutum	UP000001029	Elusimicrobium minutum (strain Pei191)	445932	2015-04-09	1528
Emericella	nidulans	UP000000560	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	2015-04-13	10555
Emiliania	huxleyi	UP000013827	Emiliania huxleyi CCMP1516	280463	2015-05-01	35608
Emticicia	oligotrophica	UP000002875	Emticicia oligotrophica (strain DSM 17448 / GPTSA100-15)	929562	2015-04-10	4251
Encephalitozoon	cuniculi	UP000000819	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	284813	2015-04-13	2008
Enterobacter	sp.	UP000000230	Enterobacter sp. (strain 638)	399742	2015-05-31	4236
Enterobacter	aerogenes	UP000008881	Enterobacter aerogenes (strain ATCC 13048 / DSM 30053 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006) (Aerobacter aerogenes)	1028307	2015-06-03	12
Enterobacter	asburiae	UP000008527	Enterobacter asburiae (strain LF7a)	640513	2015-05-31	4601
Enterobacter	cloacae	UP000002363	Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56)	716541	2015-06-03	14
Enterobacter	lignolyticus	UP000006872	Enterobacter lignolyticus (strain SCF1)	701347	2015-06-04	4393
Enterococcus	faecium	UP000007591	Enterococcus faecium (strain Aus0004)	1155766	2015-04-10	2826
Enterococcus	faecalis	UP000007027	Enterococcus faecalis (strain ATCC 47077 / OG1RF)	474186	2015-04-10	2579
Equus	caballus	UP000002281	Equus caballus (Horse)	9796	2015-04-13	22694
Erwinia	tasmaniensis	UP000001726	Erwinia tasmaniensis (strain DSM 17950 / Et1/99)	338565	2015-04-09	3618
Erwinia	amylovora	UP000001841	Erwinia amylovora (strain CFBP1430)	665029	2015-04-09	3733
Erwinia	billingiae	UP000008793	Erwinia billingiae (strain Eb661)	634500	2015-04-13	4915
Erwinia	pyrifoliae	UP000007061	Erwinia pyrifoliae (strain Ep1/96)	634499	2015-06-04	3619
Erwinia	sp.	UP000006865	Erwinia sp. (strain Ejp617)	215689	2015-04-13	3632
Erythrobacter	litoralis	UP000008808	Erythrobacter litoralis (strain HTCC2594)	314225	2015-04-09	2999
Escherichia	fergusonii	UP000000745	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73)	585054	2015-04-13	4309
Escherichia	coli	UP000001952	Escherichia coli (strain UTI89 / UPEC)	364106	2015-04-13	5192
Ethanoligenens	harbinense	UP000001551	Ethanoligenens harbinense (strain DSM 18485 / JCM 12961 / CGMCC 1.5033 / YUAN-3)	663278	2015-04-09	2663
Eubacterium	rectale	UP000001477	Eubacterium rectale (strain ATCC 33656 / VPI 0990)	515619	2015-04-09	3545
Eubacterium	eligens	UP000001476	Eubacterium eligens (strain ATCC 27750 / VPI C15-48)	515620	2015-04-13	2761
Eubacterium	limosum	UP000006873	Eubacterium limosum (strain KIST612)	903814	2015-04-09	4506
Exiguobacterium	sp.	UP000000716	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	360911	2015-04-09	3020
Exiguobacterium	sibiricum	UP000001681	Exiguobacterium sibiricum (strain DSM 17290 / JCM 13490 / 255-15)	262543	2015-04-09	3005
Felis	catus	UP000011712	Felis catus (Cat) (Felis silvestris catus)	9685	2015-04-13	20363
Ferrimonas	balearica	UP000006683	Ferrimonas balearica (strain DSM 9799 / CCM 4581 / PAT)	550540	2015-04-09	3781
Ferroglobus	placidus	UP000002613	Ferroglobus placidus (strain DSM 10642 / AEDII12DO)	589924	2015-04-09	2463
Fervidicoccus	fontis	UP000007391	Fervidicoccus fontis (strain DSM 19380 / VKM B-2539 / Kam940)	1163730	2015-04-10	1384
Fervidobacterium	pennivorans	UP000007384	Fervidobacterium pennivorans (strain DSM 9078 / Ven5)	771875	2015-05-03	1920
Fervidobacterium	nodosum	UP000002415	Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1)	381764	2015-05-03	1725
Fibrobacter	succinogenes	UP000000517	Fibrobacter succinogenes (strain ATCC 19169 / S85)	59374	2015-04-09	2870
Ficedula	albicollis	UP000016665	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	2015-04-14	15922
Filifactor	alocis	UP000007468	Filifactor alocis (strain ATCC 35896 / D40 B5) (Fusobacterium alocis)	546269	2015-04-13	1616
Finegoldia	magna	UP000001319	Finegoldia magna (strain ATCC 29328) (Peptostreptococcus magnus)	334413	2015-04-09	1813
Flavobacteriaceae	bacterium	UP000001512	Flavobacteriaceae bacterium (strain 3519-10)	531844	2015-04-09	2533
Flavobacterium	psychrophilum	UP000006394	Flavobacterium psychrophilum (strain JIP02/86 / ATCC 49511)	402612	2015-04-29	2421
Flavobacterium	branchiophilum	UP000009186	Flavobacterium branchiophilum (strain FL-15)	1034807	2015-04-10	2848
Flavobacterium	johnsoniae	UP000006694	Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / UW101) (Cytophaga johnsonae)	376686	2015-04-09	5016
Fluviicola	taffensis	UP000007463	Fluviicola taffensis (strain DSM 16823 / RW262 / RW262)	755732	2015-04-09	4016
Fomitopsis	pinicola	UP000015241	Fomitopsis pinicola (strain FP-58527) (Brown rot fungus)	743788	2015-04-13	13806
Francisella	tularensis	UP000002285	Francisella tularensis subsp. tularensis (strain WY96-3418)	418136	2015-06-04	1573
Francisella	cf.	UP000008303	Francisella cf. novicida (strain 3523)	676032	2015-04-23	1854
Francisella	philomiragia	UP000001320	Francisella philomiragia subsp. philomiragia (strain ATCC 25017)	484022	2015-04-23	1875
Frankia	symbiont	UP000001549	Frankia symbiont subsp. Datisca glomerata	656024	2015-05-03	4063
Frankia	alni	UP000000657	Frankia alni (strain ACN14a)	326424	2015-05-03	6710
Frankia	sp.	UP000002484	Frankia sp. (strain EuI1c)	298654	2015-05-03	7079
Frateuria	aurantia	UP000005234	Frateuria aurantia (strain ATCC 33424 / DSM 6220 / NBRC 3245 / NCIMB 13370) (Acetobacter aurantius)	767434	2015-04-10	3098
Fusarium	oxysporum	UP000009097	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428	2015-05-01	16642
Fusobacterium	nucleatum	UP000002521	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131)	190304	2015-04-13	2046
Gallibacterium	anatis	UP000006908	Gallibacterium anatis (strain UMN179) (Pasteurella anatis)	1005058	2015-04-10	2482
Gallus	gallus	UP000000539	Gallus gallus (Chicken)	9031	2015-05-10	17657
Gardnerella	vaginalis	UP000001888	Gardnerella vaginalis (strain 409-05)	553190	2015-05-03	1257
Gasterosteus	aculeatus	UP000007635	Gasterosteus aculeatus (Three-spined stickleback)	69293	2015-05-10	27249
